LodgingRevenue,OtherRevenue,BookingsCheckedIn,PersonsNights,RoomNights,DaysSinceLastStay,req_room
140.0,51.0,1,6,3,1079,0
92.0,50.5,1,4,2,1078,0
126.72,7.0,1,4,2,1077,1
126.72,4.0,1,4,2,1077,1
126.72,9.5,1,4,2,1077,1
77.0,22.0,1,2,1,1076,1
58.8,12.0,1,1,1,1076,0
128.0,14.0,1,2,2,1077,0
58.8,15.5,1,1,1,1076,0
128.0,14.0,1,2,2,1077,0
255.0,61.0,1,6,3,1078,1
128.0,14.0,1,2,2,1077,0
64.0,7.0,1,1,1,1076,0
128.0,16.5,1,2,2,1077,0
128.0,19.0,1,2,2,1077,0
128.0,16.5,1,2,2,1077,0
795.0,1350.0,8,13,10,113,1
128.0,16.5,1,2,2,1077,0
128.0,14.0,1,2,2,1077,0
128.0,14.0,1,2,2,1077,0
128.0,17.0,1,2,2,1077,0
128.0,34.0,1,2,2,1077,0
230.0,149.0,1,10,5,1079,0
154.0,61.6,1,4,2,1076,0
267.0,42.0,1,6,3,1077,0
59.0,9.0,1,1,1,1075,0
59.0,46.0,1,1,1,1075,0
292.0,30.5,1,4,4,1078,0
64.0,16.0,1,1,1,1075,1
215.0,111.0,1,10,5,1079,1
89.0,17.99,1,2,1,1075,1
67.0,14.0,1,2,1,1075,0
493.0,46.0,1,1,1,1075,0
192.0,21.0,1,3,3,1077,0
79.0,2.0,1,2,1,1075,0
563.6,128.0,1,16,8,1081,1
411.0,85.5,2,4,4,1075,0
232.0,75.5,1,10,5,1078,0
269.5,5.0,1,5,5,1078,0
67.2,14.0,1,2,1,1073,0
138.0,64.5,1,6,3,1075,0
77.0,23.0,1,2,1,1073,0
219.0,244.5,1,1,1,1073,0
292.0,28.0,1,4,4,1076,1
382.0,110.0,1,16,8,1080,0
73.0,7.0,1,1,1,1073,0
77.0,14.0,1,2,1,1073,0
73.0,14.0,1,2,1,1073,0
96.0,92.0,3,8,4,101,1
73.0,25.5,1,2,1,1073,1
105.2,28.0,1,4,2,1074,0
308.0,78.3,1,8,4,1076,1
146.0,52.5,2,3,2,1008,0
59.0,7.0,1,1,1,1072,0
73.0,23.0,1,2,1,1072,0
