LodgingRevenue,OtherRevenue,BookingsCheckedIn,PersonsNights,RoomNights,DaysSinceLastStay,req_room,Cluster
318.0,52.0,1,6,2,972,0,Budget Guests
93.0,7.0,1,1,1,971,0,Budget Guests
789.0,85.5,9,9,9,172,1,Premium Guests
565.2,149.2,1,12,4,974,1,Group Travelers
420.0,67.5,1,6,3,973,1,Group Travelers
289.0,71.5,1,8,4,973,0,Budget Guests
406.0,102.0,1,8,2,971,1,Group Travelers
679.4,181.0,1,16,4,973,0,Budget Guests
398.25,203.0,1,10,5,974,1,Group Travelers
1836.75,708.0,1,10,5,974,1,Group Travelers
288.9,42.0,1,6,3,972,1,Group Travelers
150.0,7.0,1,1,1,970,0,Budget Guests
204.0,150.0,1,6,3,972,1,Group Travelers
204.0,150.0,1,6,3,972,1,Group Travelers
603.0,114.0,1,10,5,974,1,Group Travelers
204.0,150.0,1,6,3,972,1,Group Travelers
207.0,75.0,1,3,3,972,0,Budget Guests
282.0,225.0,1,9,3,972,0,Budget Guests
365.5,63.0,1,8,4,973,1,Group Travelers
204.0,150.0,1,6,3,972,1,Group Travelers
282.0,225.0,1,9,3,972,0,Budget Guests
207.0,75.0,1,3,3,972,0,Budget Guests
204.0,150.0,1,6,3,972,1,Group Travelers
204.0,150.0,1,6,3,972,1,Group Travelers
282.0,225.0,1,9,3,972,0,Budget Guests
204.0,150.0,1,6,3,972,1,Group Travelers
207.0,75.0,1,3,3,972,0,Budget Guests
204.0,150.0,1,6,3,972,1,Group Travelers
204.0,150.0,1,6,3,972,1,Group Travelers
622.5,115.0,1,10,5,974,0,Budget Guests
358.3,92.0,1,8,4,973,1,Group Travelers
329.8,52.5,1,8,4,973,0,Budget Guests
144.0,14.0,1,2,1,970,1,Group Travelers
329.8,49.5,1,8,4,973,0,Budget Guests
358.3,61.89,1,8,4,973,1,Group Travelers
229.52,73.0,1,8,4,973,1,Group Travelers
576.0,111.0,1,8,4,973,1,Group Travelers
392.3,56.0,1,8,4,973,1,Group Travelers
289.0,42.0,1,8,4,973,0,Budget Guests
105.2,11.0,1,1,1,970,0,Budget Guests
369.0,80.0,1,8,4,973,1,Group Travelers
342.36,27.0,1,3,3,972,1,Group Travelers
342.36,60.0,1,3,3,972,1,Group Travelers
349.8,74.5,1,8,4,973,0,Budget Guests
383.8,66.0,1,8,4,973,1,Group Travelers
1049.4,168.0,1,8,4,973,0,Budget Guests
1049.4,183.0,1,8,4,973,0,Budget Guests
144.0,23.0,1,2,1,970,1,Group Travelers
385.2,44.5,1,6,3,972,0,Budget Guests
748.0,108.0,3,7,7,589,0,Budget Guests
870.0,158.8,4,9,9,187,1,Premium Guests
2564.0,398.2,1,4,4,973,0,Budget Guests
873.0,104.0,1,18,9,977,0,Budget Guests
684.69,244.0,1,14,7,975,1,Group Travelers
684.68,126.0,1,14,7,975,1,Group Travelers
684.68,120.0,1,14,7,975,0,Budget Guests
394.75,43.0,1,10,5,973,0,Budget Guests
412.25,52.5,1,10,5,973,0,Budget Guests
312.3,26.0,1,3,3,971,1,Group Travelers
936.9,74.26,1,3,3,971,0,Budget Guests
415.0,68.0,1,6,3,971,0,Budget Guests
415.0,68.0,1,6,3,971,0,Budget Guests
309.0,70.0,1,8,4,972,0,Budget Guests
415.0,68.0,1,6,3,971,0,Budget Guests
415.0,68.0,1,6,3,971,0,Budget Guests
415.0,73.0,1,6,3,971,0,Budget Guests
415.0,68.0,1,6,3,971,0,Budget Guests
250.21,59.5,1,6,3,971,0,Budget Guests
250.21,47.0,1,6,3,971,0,Budget Guests
309.0,66.0,1,8,4,972,0,Budget Guests
415.0,70.5,1,6,3,971,0,Budget Guests
415.0,68.0,1,6,3,971,0,Budget Guests
309.0,61.0,1,8,4,972,0,Budget Guests
299.93,73.07,1,8,4,972,0,Budget Guests
216.6,15.0,1,2,2,969,1,Group Travelers
415.0,68.0,1,6,3,971,0,Budget Guests
415.0,70.5,1,6,3,971,0,Budget Guests
216.75,37.5,1,6,3,971,0,Budget Guests
277.95,123.75,1,9,3,971,0,Budget Guests
432.0,101.5,1,6,3,971,1,Group Travelers
180.9,108.0,1,4,1,969,1,Group Travelers
936.9,57.0,1,3,3,971,1,Group Travelers
438.0,69.0,1,2,1,969,0,Budget Guests
438.6,8.0,1,8,4,972,1,Group Travelers
226.15,6.0,1,6,3,971,0,Budget Guests
340.0,79.0,1,8,4,972,0,Budget Guests
415.0,70.5,1,6,3,971,0,Budget Guests
340.0,257.0,1,8,4,972,0,Budget Guests
415.0,68.0,1,6,3,971,0,Budget Guests
415.0,68.0,1,6,3,971,0,Budget Guests
309.0,62.0,1,8,4,972,0,Budget Guests
812.0,279.0,1,16,4,972,1,Group Travelers
296.0,26.0,1,2,1,969,0,Budget Guests
416.4,254.0,1,16,4,971,0,Budget Guests
327.0,36.0,1,6,3,970,0,Budget Guests
279.9,54.0,1,6,3,970,0,Budget Guests
393.9,63.0,1,9,3,970,1,Group Travelers
302.0,355.0,1,12,4,971,0,Budget Guests
406.3,123.5,1,8,4,971,1,Group Travelers
345.0,42.0,1,6,3,970,0,Budget Guests
1035.0,126.0,1,6,3,970,0,Budget Guests
344.7,54.0,1,6,3,970,1,Group Travelers
344.7,42.0,1,6,3,970,1,Group Travelers
406.0,44.5,1,8,2,969,0,Budget Guests
89.4,31.0,1,2,1,968,0,Budget Guests
313.47,6.0,1,2,1,968,1,Group Travelers
175.5,175.5,1,4,1,968,0,Budget Guests
104.49,2.0,1,2,1,968,0,Budget Guests
114.9,14.0,1,2,1,968,0,Budget Guests
256.0,240.0,1,8,4,971,0,Budget Guests
116.1,78.5,1,2,1,968,0,Budget Guests
147.3,14.0,1,2,1,968,1,Group Travelers
256.0,269.0,1,8,4,971,1,Group Travelers
212.0,67.0,1,3,3,970,0,Budget Guests
379.2,51.0,1,4,4,971,1,Group Travelers
254.0,67.0,1,4,2,969,1,Group Travelers
212.0,76.0,1,3,3,970,0,Budget Guests
244.0,122.0,1,6,3,970,0,Budget Guests
212.0,66.0,1,3,3,970,0,Budget Guests
212.0,66.0,1,3,3,970,0,Budget Guests
750.6,155.0,1,6,3,970,0,Budget Guests
750.6,126.0,1,6,3,970,0,Budget Guests
244.0,142.5,1,6,3,970,0,Budget Guests
750.6,155.0,1,6,3,970,0,Budget Guests
750.6,126.0,1,6,3,970,0,Budget Guests
250.2,42.0,1,6,3,970,0,Budget Guests
258.0,22.0,1,4,2,969,1,Group Travelers
274.0,46.0,1,4,2,969,0,Budget Guests
